title,,,,
text,align,,,
112,4.7,,,
113,4.5,,,
114,4.8,,,
115,5.0,,,
116,4.9,,,
117,4.7,,,
118,4.5,,,
119,4.3,,,
120,4.1,,,
121,4.4,,,
122,4.2,,,
123,4.5,,,
124,4.3,,,
125,4.1,,,
126,3.9,,,
127,3.7,,,
128,3.4,,,
129,3.6,,,
130,3.9,,,
131,3.7,,,
132,4.0,,,
133,4.2,,,
134,4.4,,,
135,4.1,,,
136,4.3,,,
137,4.5,,,
138,4.7,,,
139,4.9,,,
140,4.6,,,
141,4.4,,,
142,4.7,,,
143,4.5,,,
144,4.3,,,
145,4.6,,,
146,4.8,,,
147,4.5,,,
148,4.2,,,
149,3.9,,,
150,3.6,,,
151,3.3,,,
152,3.0,,,
153,3.2,,,
154,2.9,,,
155,3.1,,,
156,2.8,,,
157,3.0,,,
158,2.7,,,
159,2.5,,,
160,2.3,,,
161,2.1,,,
162,2.4,,,
163,2.7,,,
164,2.9,,,
165,3.1,,,
166,2.8,,,
167,2.5,,,
168,2.3,,,
169,2.0,,,
170,1.7,,,
171,2.0,,,
172,2.3,,,
173,2.5,,,
174,2.7,,,
175,2.4,,,
176,2.1,,,
177,1.9,,,
178,1.6,,,
179,1.8,,,
180,1.5,,,
181,1.3,,,
182,1.0,,,
183,0.8,,,
184,1.1,,,
185,1.4,,,
186,1.2,,,
187,1.0,,,
188,0.7,,,
189,0.4,,,
190,0.2,,,
191,0.5,,,
192,0.8,,,
193,0.6,,,
194,0.9,,,
195,0.7,,,
196,1.0,,,
197,1.3,,,
198,1.1,,,
199,1.4,,,
200,1.6,,,
201,1.9,,,
202,1.7,,,
203,2.0,,,
204,2.2,,,
205,2.4,,,
206,2.6,,,
207,2.3,,,
208,2.0,,,
209,1.7,,,
210,1.5,,,
211,1.8,,,
212,2.0,,,
213,1.7,,,
214,2.0,,,
215,2.2,,,
216,2.4,,,
217,2.7,,,
218,2.9,,,
219,3.1,,,
220,3.3,,,
221,3.0,,,
222,3.2,,,
223,3.4,,,
224,3.6,,,
225,3.8,,,
226,3.5,,,
227,3.2,,,
228,3.5,,,
229,3.7,,,
230,3.9,,,
231,4.1,,,
232,4.3,,,
233,4.6,,,
234,4.8,,,
235,4.5,,,
236,4.7,,,
237,5.0,,,
238,5.2,,,
239,5.0,,,
240,5.3,,,
241,5.5,,,
242,5.8,,,
243,5.6,,,
244,5.9,,,
245,5.7,,,
246,6.0,,,
247,6.3,,,
248,6.5,,,
249,6.2,,,
250,6.5,,,
251,6.7,,,
252,6.4,,,
253,6.1,,,
254,5.8,,,
255,5.5,,,
256,5.3,,,
257,5.6,,,
258,5.8,,,
259,5.5,,,
260,5.3,,,
261,5.1,,,
262,4.9,,,
263,4.6,,,
264,4.3,,,
265,4.5,,,
266,4.2,,,
267,4.0,,,
268,4.3,,,
269,4.1,,,
270,4.4,,,
271,4.2,,,
272,4.0,,,
273,3.8,,,
274,3.5,,,
275,3.3,,,
276,3.6,,,
277,3.9,,,
278,4.2,,,
279,4.0,,,
280,3.8,,,
281,4.1,,,
282,4.3,,,
283,4.6,,,
284,4.8,,,
285,5.1,,,
286,4.9,,,
287,5.2,,,
288,5.4,,,
289,5.6,,,
290,5.9,,,
291,5.7,,,
292,5.4,,,
293,5.6,,,
294,5.9,,,
295,6.1,,,
296,6.4,,,
297,6.7,,,
298,6.5,,,
299,6.8,,,
300,6.6,,,
301,6.9,,,
302,7.1,,,
303,6.8,,,
304,6.6,,,
305,6.9,,,
306,7.2,,,
307,7.5,,,
308,7.7,,,
309,7.5,,,
310,7.8,,,
311,7.6,,,
312,7.3,,,
313,7.0,,,
314,6.8,,,
315,6.6,,,
316,6.3,,,
317,6.0,,,
318,6.2,,,
319,6.4,,,
320,6.1,,,
321,6.3,,,
322,6.0,,,
323,5.8,,,
324,5.5,,,
325,5.2,,,
326,5.0,,,
327,4.7,,,
328,4.5,,,
329,4.2,,,
330,4.4,,,
331,4.1,,,
332,3.9,,,
333,3.7,,,
334,3.4,,,
335,3.6,,,
336,3.9,,,
337,3.7,,,
338,3.5,,,
339,3.3,,,
340,3.6,,,
341,3.8,,,
342,3.5,,,
343,3.3,,,
344,3.0,,,
345,2.8,,,
346,2.6,,,
347,2.8,,,
348,3.1,,,
349,2.9,,,
350,3.2,,,
351,3.0,,,
352,2.7,,,
353,2.4,,,
354,2.1,,,
355,1.9,,,
356,2.2,,,
357,2.5,,,
358,2.7,,,
359,3.0,,,
360,2.8,,,
361,3.1,,,
362,2.9,,,
363,2.6,,,
364,2.8,,,
365,3.1,,,
